Plant_Id,fuel_cost_2014.01,fuel_cost_2014.02,fuel_cost_2014.03,fuel_cost_2014.04,fuel_cost_2014.05,fuel_cost_2014.06,fuel_cost_2014.07,fuel_cost_2014.08,fuel_cost_2014.09,fuel_cost_2014.10,fuel_cost_2014.11,fuel_cost_2014.12,generation_MWh_2014.01,generation_MWh_2014.02,generation_MWh_2014.03,generation_MWh_2014.04,generation_MWh_2014.05,generation_MWh_2014.06,generation_MWh_2014.07,generation_MWh_2014.08,generation_MWh_2014.09,generation_MWh_2014.10,generation_MWh_2014.11,generation_MWh_2014.12
55348,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
55349,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
55345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40
55347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
55340,1720.50,2284.10,684.30,0,0,499.00,450.50,421.40,0,0,1357.10,0,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40
55343,1508.00,2115.00,1578.00,1602.00,1526.00,1551.00,1400.00,1319.00,1354.00,1523.00,1403.00,1330.00,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40,1700.40
55292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20
55293,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20,2267.20
167,0,0,0,0,0,0,0,0,0,0,0,0,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60,1133.60
55296,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
