Plant_Id,fuel_cost_2012.01,fuel_cost_2012.02,fuel_cost_2012.03,fuel_cost_2012.04,fuel_cost_2012.05,fuel_cost_2012.06,fuel_cost_2012.07,fuel_cost_2012.08,fuel_cost_2012.09,fuel_cost_2012.10,fuel_cost_2012.11,fuel_cost_2012.12,generation_MWh_2012.01,generation_MWh_2012.02,generation_MWh_2012.03,generation_MWh_2012.04,generation_MWh_2012.05,generation_MWh_2012.06,generation_MWh_2012.07,generation_MWh_2012.08,generation_MWh_2012.09,generation_MWh_2012.10,generation_MWh_2012.11,generation_MWh_2012.12
3,2252.20,1398.30,1904.30,1929.30,1040.10,1849.30,1140.90,1592.60,1572.70,1172.60,1225.80,1170.20,463591.00,370232.00,696465.00,489847.00,473641.00,905798.00,941011.00,910659.00,862493.00,705400.00,717939.00,633144.00
7,686.40,701.80,684.80,663.50,714.40,699.50,773.20,747.80,743.70,798.00,807.80,777.10,16219.00,11464.00,15198.00,16706.00,19417.00,14631.00,17963.00,23181.00,34492.00,20890.00,19649.00,12290.00
8,4706.90,1964.60,4058.90,4467.70,3793.60,3603.10,4237.20,3907.30,1186.70,4369.30,3938.10,3032.50,301571.00,506657.00,164620.00,195356.00,31635.00,184014.00,594918.00,603876.00,312900.00,46780.00,51172.00,59179.00
10,1457.00,1185.50,1284.30,697.40,827.90,653.40,752.00,912.80,851.00,909.30,863.80,957.60,150867.00,100367.00,94430.00,86696.00,184571.00,222891.00,270643.00,241294.00,151665.00,166374.00,200004.00,145960.00
26,4526.20,5197.80,4588.60,4746.40,5130.00,4470.40,4633.70,4803.30,4861.50,4845.10,4871.50,4419.60,483686.00,132754.00,535891.00,600977.00,896085.00,812168.00,969030.00,920747.00,649707.00,736407.00,719033.00,678466.00
47,4413.00,2549.20,3530.80,2952.40,2848.30,2949.40,1922.70,6715.20,12030.40,3738.80,2553.10,3495.50,248234.00,89968.00,109647.00,255476.00,276966.00,406727.00,605428.00,372103.00,258641.00,272422.00,225330.00,243978.00
50,5203.40,5284.60,512.50,2863.80,4845.80,6405.00,4858.90,7502.20,2936.00,7835.20,3042.20,5265.60,299641.00,308917.00,245783.00,236503.00,213455.00,436595.00,499403.00,505722.00,471425.00,301593.00,478195.00,442151.00
51,914.70,889.50,847.60,838.20,813.00,889.00,867.70,920.20,989.40,1102.00,1131.70,1197.20,380808.00,400300.00,308155.00,188332.00,464113.00,437728.00,445623.00,373160.00,382645.00,318844.00,456668.00,460447.00
54,307.60,307.20,229.90,203.30,256.70,262.80,310.30,294.80,288.80,350.80,367.90,354.00,0,0,0,0,0,0,0,0,0,0,0,0
56,2008.50,1639.40,1338.50,923.10,6258.70,3549.60,6155.30,4241.60,3976.60,1078.50,5891.70,648.40,101087.00,158583.00,206146.00,159517.00,146271.00,239117.00,221143.00,155170.00,158903.00,107206.00,112375.00,104950.00
59,164.50,160.20,157.70,164.40,165.50,167.70,162.30,160.60,158.70,157.10,163.20,161.00,40859.00,40221.00,37452.00,29583.00,44659.00,46066.00,54723.00,45995.00,34049.00,-554.00,20397.00,48210.00
60,1967.90,170.50,343.60,2555.10,2452.00,174.50,2444.70,2606.10,171.30,173.60,2472.50,174.90,115294.00,71441.00,35144.00,52474.00,50330.00,174148.00,197760.00,143660.00,120207.00,138597.00,127058.00,134966.00
79,0,0,0,0,0,0,0,0,0,0,0,0,15821.00,15984.00,16261.00,15213.00,11645.00,18052.00,19156.00,19480.00,17550.00,16402.00,17822.00,18019.00
87,585.30,339.00,292.60,511.40,553.80,574.70,617.30,617.00,607.80,670.70,675.30,987.50,124663.00,0.00,0.00,57590.00,102082.00,108617.00,132246.00,133381.00,123817.00,125054.00,91172.00,123405.00
